bgg_id,score,score_weighted,rank_weighted,rank
112694,0.0190982,0.0200767,6943,7043
4086,0.019088,0.0238766,6536,7044
299266,0.0190777,0.0185571,7161,7045
308,0.0190675,0.0240551,6520,7046
170225,0.0190573,0.0286194,6134,7047
3712,0.0190573,0.0165856,7438,7048
216740,0.0190573,0.0155032,7599,7049
209926,0.0190521,0.0199313,6955,7050
240892,0.0190521,0.017367,7324,7051
341233,0.0190419,0.0220705,6733,7052
88316,0.0190266,0.0199113,6961,7053
40381,0.0190215,0.0209444,6852,7054
259005,0.0190163,0.0183738,7181,7055
300700,0.0190163,0.0177345,7276,7056
266266,0.0190112,0.0195294,7013,7057
322451,0.019001,0.0140213,7873,7058
251832,0.0189857,0.01691,7385,7059
950,0.0189805,0.0258911,6362,7060
270871,0.0189703,0.0205583,6887,7061
180256,0.0189294,0.0211909,6823,7062
155693,0.0189089,0.0163074,7472,7063
257306,0.0189038,0.0159928,7524,7064
231824,0.0188987,0.0183941,7178,7065
4143,0.0188987,0.0140358,7869,7066
38797,0.0188834,0.027638,6210,7067
10997,0.0188731,0.0201984,6930,7068
2119,0.0188578,0.015825,7556,7069
182351,0.0188373,0.016475,7456,7070
137958,0.0188169,0.0183829,7179,7071
306202,0.0188169,0.0167756,7403,7072
303053,0.0187964,0.0166287,7430,7073
158888,0.0187862,0.0238317,6539,7074
255633,0.0187862,0.0231731,6607,7075
39045,0.0187862,0.0197964,6984,7076
178153,0.018776,0.0180996,7224,7077
920,0.018776,0.0157463,7565,7078
254634,0.0187708,0.0241023,6516,7079
282544,0.0187657,0.0181508,7216,7080
163576,0.0187606,0.0128487,8062,7081
297895,0.0187555,0.0191261,7073,7082
